row_index,sheet_number,scope,bid_item,text,text_frequency
209,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
210,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
211,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
212,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
213,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
214,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
215,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
216,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
217,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
218,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
219,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
220,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
221,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
222,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
223,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
224,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
225,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
226,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
227,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
228,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
229,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
230,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
231,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
232,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
233,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
234,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
235,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
236,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
237,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
238,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
239,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
