row_index,sheet_number,bid_item,text,ocr_hints
204,A-005,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,"F. WHERE ROOF TO VERTICAL WALL INTERSECTIONS OCCUR, RUN MEMBRANE MINIMUM 8"" UP WALL. REFER TO DETAILS FOR TERMINATION.","[""POSSIBLE_DIMENSION""]"
205,A-005,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.,[]
206,A-005,Furnish & Install Tapered Rigid Insulation,"D. PROVIDE BUILT-UP TAPERED INSULATION ROOF CRICKETS AT ALL LOCATIONS OF CURBS, ROOFTOP EQUIPMENT, ETC. TO ALLOW POSITIVE DRAINAGE AND PREVENT PONDING.",[]
207,A-005,Furnish & Install Tapered Rigid Insulation,"E. TAPERED INSULATION SLOPE TO BE 1/4"" PER FOOT MINIMUM. SLOPE AS INDICATED ON PLANS.","[""POSSIBLE_DIMENSION""]"
208,A-005,Furnish & Install Tapered Rigid Insulation,"H. SLOPE ALL CRICKETS AS SHOWN AT A MINIMUM OF 1/4"" PER FOOT, UNLESS NOTED OTHERWISE.","[""POSSIBLE_DIMENSION""]"
209,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
210,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
211,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
212,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
213,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
214,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
215,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
216,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
217,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
218,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
219,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
220,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
221,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
222,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
223,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
224,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
225,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
226,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
227,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
228,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
229,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
230,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
231,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
232,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
233,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
234,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
235,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
236,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
237,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
238,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
239,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
240,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
241,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
242,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
243,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
244,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
245,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
246,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
247,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
248,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
249,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
250,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
251,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
252,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
253,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
254,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
255,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
256,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,"[""SHORT_TAG""]"
257,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
258,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,"[""SHORT_TAG""]"
259,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
260,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,"[""SHORT_TAG""]"
261,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
262,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,"[""SHORT_TAG""]"
263,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
264,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,"[""SHORT_TAG""]"
265,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
266,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,"[""SHORT_TAG""]"
267,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
268,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,"[""SHORT_TAG""]"
