row_index,document_id,page_number,sheet_number,sheet_name,discipline,scope,scope_key,bid_item,subheading,region_index,text,quad_px,specifications,references,drawing_reference_detail,notes,is_reference_sheet,region_id,medium_path,local_path,locator_path,coordinate_valid
204,11896,4,A-005,Bldg Types Roof Plan,Architectural,Membrane Roofing,Membrane Roofing,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,Others,0,"F. WHERE ROOF TO VERTICAL WALL INTERSECTIONS OCCUR, RUN MEMBRANE MINIMUM 8"" UP WALL. REFER TO DETAILS FOR TERMINATION.","[2507.994873046875, 297.59063720703125, 2774.69287109375, 297.59063720703125, 2774.69287109375, 338.30584716796875, 2507.994873046875, 338.30584716796875]","[{'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 420.17620849609375, 543.468994140625, 420.17620849609375, 543.468994140625, 490.8016052246094, 96.02400207519531, 490.8016052246094], 'text': 'A. Membrane Roofing Materials: 1. TPO: Thermoplastic polyolefin (TPO) conforming to ASTM D6878/D6878M, sheet contains reinforcing fabrics or scrims. a. Thickness: 60 mil, 0.060 inch. 3. Sheet Width: Factory fabricated into largest sheets possible. 4. Color: White or gray, as selected by Architect from standard colors.', 'page_number': 3}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 144.606201171875, 549.1671142578125, 144.606201171875, 549.1671142578125, 215.7115936279297, 96.02400207519531, 215.7115936279297], 'text': 'A. Thermoplastic Polyolefin (TPO) Membrane Roofing Materials: 1. Carlisle Roofing Systems, Inc; Sure-Weld TPO: www.carlisle-syntec.com 2. Elevate; www.holcimelevate.com 3. Versico, a division of Carlisle Construction Materials Inc; VersiWeld TPO: www.versico.com. 4. GAF; www.gaf.com Updated 2025 5. Substitutions: See Section 01 6000 - Product Requirements.', 'page_number': 3}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 594.2061767578125, 423.52911376953125, 594.2061767578125, 423.52911376953125, 605.3115844726562, 96.02400207519531, 605.3115844726562], 'text': 'D. Membrane Adhesive: As recommended by membrane manufacturer.', 'page_number': 4}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 495.17620849609375, 414.6447448730469, 495.17620849609375, 414.6447448730469, 506.2816162109375, 96.02400207519531, 506.2816162109375], 'text': 'B. Seaming Materials: As recommended by membrane manufacturer.', 'page_number': 3}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 263.19622802734375, 574.141357421875, 263.19622802734375, 574.141357421875, 321.8216247558594, 96.02400207519531, 321.8216247558594], 'text': 'B. Roofing Assembly Requirements: 1. Solar Reflectance Index (SRI): Minimum of 64 based on three-year aged value; if three-year aged data is not available, minimum of 82 initial value. a. Calculate SRI in accordance with ASTM E1980. b. Field applied coating may not be used to achieve specified SRI.', 'page_number': 3}]}]",,,,False,region_000204,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000204.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000204.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000204.png,CACHED
205,11896,4,A-005,Bldg Types Roof Plan,Architectural,Membrane Roofing,Membrane Roofing,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,Others,1,G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.,"[2507.994873046875, 340.91070556640625, 2768.45263671875, 340.91070556640625, 2768.45263671875, 367.22589111328125, 2507.994873046875, 367.22589111328125]","[{'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 420.17620849609375, 543.468994140625, 420.17620849609375, 543.468994140625, 490.8016052246094, 96.02400207519531, 490.8016052246094], 'text': 'A. Membrane Roofing Materials: 1. TPO: Thermoplastic polyolefin (TPO) conforming to ASTM D6878/D6878M, sheet contains reinforcing fabrics or scrims. a. Thickness: 60 mil, 0.060 inch. 3. Sheet Width: Factory fabricated into largest sheets possible. 4. Color: White or gray, as selected by Architect from standard colors.', 'page_number': 3}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 144.606201171875, 549.1671142578125, 144.606201171875, 549.1671142578125, 215.7115936279297, 96.02400207519531, 215.7115936279297], 'text': 'A. Thermoplastic Polyolefin (TPO) Membrane Roofing Materials: 1. Carlisle Roofing Systems, Inc; Sure-Weld TPO: www.carlisle-syntec.com 2. Elevate; www.holcimelevate.com 3. Versico, a division of Carlisle Construction Materials Inc; VersiWeld TPO: www.versico.com. 4. GAF; www.gaf.com Updated 2025 5. Substitutions: See Section 01 6000 - Product Requirements.', 'page_number': 3}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 594.2061767578125, 423.52911376953125, 594.2061767578125, 423.52911376953125, 605.3115844726562, 96.02400207519531, 605.3115844726562], 'text': 'D. Membrane Adhesive: As recommended by membrane manufacturer.', 'page_number': 4}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 495.17620849609375, 414.6447448730469, 495.17620849609375, 414.6447448730469, 506.2816162109375, 96.02400207519531, 506.2816162109375], 'text': 'B. Seaming Materials: As recommended by membrane manufacturer.', 'page_number': 3}]}, {'specification_section_code': '07 54 00', 'specification_reference': 'THERMOPLASTIC MEMBRANE ROOFING', 'division': 'Division 07 - Thermal and Moisture Protection', 'regions': [{'quad_px': [96.02400207519531, 263.19622802734375, 574.141357421875, 263.19622802734375, 574.141357421875, 321.8216247558594, 96.02400207519531, 321.8216247558594], 'text': 'B. Roofing Assembly Requirements: 1. Solar Reflectance Index (SRI): Minimum of 64 based on three-year aged value; if three-year aged data is not available, minimum of 82 initial value. a. Calculate SRI in accordance with ASTM E1980. b. Field applied coating may not be used to achieve specified SRI.', 'page_number': 3}]}]",,,,False,region_000205,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000205.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000205.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000205.png,CACHED
206,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Tapered Rigid Insulation,Rigid Insulation,0,"D. PROVIDE BUILT-UP TAPERED INSULATION ROOF CRICKETS AT ALL LOCATIONS OF CURBS, ROOFTOP EQUIPMENT, ETC. TO ALLOW POSITIVE DRAINAGE AND PREVENT PONDING.","[2507.994873046875, 210.95062255859375, 2774.450927734375, 210.95062255859375, 2774.450927734375, 266.18572998046875, 2507.994873046875, 266.18572998046875]",[],,,,False,region_000206,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000206.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000206.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000206.png,CACHED
207,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Tapered Rigid Insulation,Rigid Insulation,1,"E. TAPERED INSULATION SLOPE TO BE 1/4"" PER FOOT MINIMUM. SLOPE AS INDICATED ON PLANS.","[2507.994873046875, 268.67059326171875, 2758.970458984375, 268.67059326171875, 2758.970458984375, 294.98577880859375, 2507.994873046875, 294.98577880859375]",[],,,,False,region_000207,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000207.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000207.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000207.png,CACHED
208,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Tapered Rigid Insulation,Rigid Insulation,2,"H. SLOPE ALL CRICKETS AS SHOWN AT A MINIMUM OF 1/4"" PER FOOT, UNLESS NOTED OTHERWISE.","[2507.994873046875, 369.71075439453125, 2778.412109375, 369.71075439453125, 2778.412109375, 396.02593994140625, 2507.994873046875, 396.02593994140625]",[],,,,False,region_000208,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000208.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000208.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000208.png,CACHED
209,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,0,A1,"[1096.9095458984375, 1315.5372314453125, 1109.607666015625, 1315.5372314453125, 1109.607666015625, 1328.0870361328125, 1096.9095458984375, 1328.0870361328125]",[],,,,False,region_000209,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000209.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000209.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000209.png,CACHED
210,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,1,A1,"[1096.9095458984375, 722.137451171875, 1109.607666015625, 722.137451171875, 1109.607666015625, 734.6873168945312, 1096.9095458984375, 734.6873168945312]",[],,,,False,region_000210,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000210.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000210.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000210.png,CACHED
211,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,2,A4,"[1321.3094482421875, 721.8974609375, 1334.007568359375, 721.8974609375, 1334.007568359375, 734.4473266601562, 1321.3094482421875, 734.4473266601562]",[],,,,False,region_000211,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000211.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000211.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000211.png,CACHED
212,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,3,A4,"[1321.3094482421875, 1315.417236328125, 1334.007568359375, 1315.417236328125, 1334.007568359375, 1327.967041015625, 1321.3094482421875, 1327.967041015625]",[],,,,False,region_000212,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000212.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000212.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000212.png,CACHED
213,11896,4,A-005,Bldg Types Roof Plan,Architectural,Thermal Protection,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,4,AX,"[1033.189453125, 1018.77734375, 1047.031494140625, 1018.77734375, 1047.031494140625, 1031.3271484375, 1033.189453125, 1031.3271484375]",[],,,,False,region_000213,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000213.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000213.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000213.png,CACHED
